accession,mouse_gene
Q8BNH2,Prickle3
O08795,Prkcsh
P04925,Prnp
P33587,Proc
Q08761,Pros1
Q8BG44,Prrt3
Q9Z1R9,Prss1
F2Z3Y8,Prss41
E9PZ00,Psap
Q99K85,Psat1
Q9R1P4,Psma1
Q9QUM9,Psma6
Q60692,Psmb6
P62192,Psmc1
A2AUR3,Pter
O09114,Ptgds
Q05769,Ptgs2
Q91V95,Pth2r
P35235,Ptpn11
G5E8B1,Ptpn13
E9QAS3,Ptpn22
P29351,Ptpn6
G3UYU6,Ptprd
A2A8L5,Ptprf
F8VQD7,Ptprg
P35822,Ptprk
Q60673,Ptprn
Q3UU93,Ptprn2
B0V2N1,Ptprs
A0A0J9YVD2,Ptprz1
P32848,Pvalb
Q8CI94,Pygb
Q9ET01,Pygl
Q9WUB3,Pygm
Q61838,Pzp
Q3UPC7,Q3UPC7
Q810N5,Q810N5
Q8BZJ8,Q8BZJ8
Q91V76,Q91V76
Q8BVI4,Qdpr
A0A0R4J0G6,Qpct
Q91X91,Qprt
Q8BND5,Qsox1
G3UZL4,Rab11b
Q8BQP8,Rab11fip4
D3YZ27,Rab36
D3YV69,Rab6a
P62827,Ran
Q9D0I9,Rars
D3YUS5,Rasal2
G3UYP5,Rasgrp1
A2APB1,Rassf2
Q5SFM8,Rbm27
O89086,Rbm3
Q00915,Rbp1
Q00724,Rbp4
O88451,Rdh7
P26043,Rdx
A0A0N4SVX1,Reg3b
Q60841,Reln
Q920Q2,Rev1
Q61493,Rev3l
Q8C7R7,Rfx6
Q8C4C4,Rgma
Q7TQ33,Rgmb
P00683,Rnase1
Q8C7E4,Rnase4
Q9CQ01,Rnaset2
Q5SWK7,Rnf145
Q9CY62,Rnf181
A0A171EBL2,Rnf213
Q91VI7,Rnh1
G5E843,Robo1
E9PYK2,Robo2
Q9Z2I4,Robo3
F8VPK5,Rock2
A0A0R4J1E7,Ropn1l
Q9D706,Rpap3
P47708,Rph3a
A0A140T8K8,Rpl13-ps3
A0A1B0GSF7,Rpl18
P14869,Rplp0
A0A140LI77,Rps3
Q8C050,Rps6ka5
P62082,Rps7
P62242,Rps8
P14206,Rpsa
Q99PI8,Rtn4r
Q7M6Z0,Rtn4rl2
Q3TYX8,Rufy4
Q6PDC0,Rundc3b
K3W4M2,Ryr1
A0A140LJF7,Ryr3
P97352,S100a13
Q9D2Q8,S100a14
P14069,S100a6
P27005,S100a8
P31725,S100a9
P31532,Saa4
E9PYG9,Samhd1
A0A0R4J060,Sap130
P70122,Sbds
E9Q372,Sbf2
Q8BRF7,Scfd1
Q03517,Scg2
P47867,Scg3
P12961,Scg5
K3W4P8,Scn10a
Q9R053,Scn11a
A0A0J9YUW5,Scn8a
O88745,Scrg1
A0A0N4SWD0,Scrn1
Q3TMH2,Scrn3
Q05DD9,Sdccag8
Q61112,Sdf4
Q8K2B3,Sdha
Q3UH53,Sdk1
P17563,Selenbp1
Q3TCF3,Sell
Q8VHC3,Selm
O88632,Sema3f
Q62179,Sema4b
K3W4S5,Sema6a
A2AW73,Sema6d
Q9QUR8,Sema7a
P70274,Sepp1
A0A0J9YUV6,SEPT11
Q9QZI8,Serinc1
Q8R121,Serpina10
Q8CIE0,Serpina11
P07758,Serpina1a
P22599,Serpina1b
A0A0R4J0X5,Serpina1c
Q00897,Serpina1d
Q00898,Serpina1e
A0A0R4J0I1,Serpina3k
Q03734,Serpina3m
Q91WP6,Serpina3n
Q06770,Serpina6
Q9D154,Serpinb1a
Q8VHP7,Serpinb1b
Q9D1Q5,Serpinb3b
Q60854,Serpinb6
P32261,Serpinc1
P49182,Serpind1
Q07235,Serpine2
P97298,Serpinf1
Q61247,Serpinf2
P97290,Serping1
O35684,Serpini1
Q7TSK2,Sez6
A0A1D5RMJ7,Sez6l
Q4V9Z5,Sez6l2
G5E866,Sf3b1
Q9EQ08,Sgsh
Q9JJU8,Sh3bgrl
Q91VW3,Sh3bgrl3
D3YZU5,Shank1
Q3UH99,Shisa6
O88520,Shoc2
P46062,Sipa1
Q6P6I8,Sirpa
Q9JIS8,Slc12a4
Q76M72,Slc22a27
B2RT89,Slc22a28
Q96LX3,Slc22a30
B1AXF3,Slc24a2
Q8R0Z5,Slc25a28
Q8VEM8,Slc25a3
P48962,Slc25a4
O88627,Slc28a2
P10852,Slc3a2
E9PWK0,Slc44a4
F8WHM3,Slc4a3
Q8VDT1,Slc5a9
P31650,Slc6a11
V9GXG1,Slfn14
E9Q2X6,Smc4
Q5RJH6,Smg7
J3QNP2,Smim18
P70158,Smpdl3a
P60879,Snap25
A2AIV6,Snapc4
Q78PY7,Snd1
Q3ZT31,Snx25
P08228,Sod1
P09671,Sod2
O09164,Sod3
Q9EPR5,Sorcs2
Q8VI51,Sorcs3
Q64442,Sord
O88307,Sorl1
Q6PHU5,Sort1
Q8CGW4,Sox30
Q5NCU4,Sparc
P70663,Sparcl1
A0A0G2JFY0,Spata5
B1AT85,Sphk1
A0A0R4J1Y6,Sphkap
Q9WU03,Spint2
Q6DIC9,Spock1
Q9ER58,Spock2
Q8BKV0,Spock3
Q8VCC9,Spon1
P10923,Spp1
Q64105,Spr
A3KGU5,Sptan1
Q68FG2,Sptbn2
Q3U1N2,Srebf2
P60041,Sst
Q8VIB3,St3gal6
A0A087WRI1,Stat1
D3Z1Z8,Stmn1
Q8VIM6,Strc
Q8R1Q0,Stx19
Q9Z2I9,Sucla2
Q8CH02,Sugp1
Q91X36,Sult5a1
P61957,Sumo2
A2AVA0,Svep1
F6R6A4,Svil
Q8BFT9,Svop
P18419,Svs4
Q80X82,Sympk
O88935,Syn1
E9QP46,Syne2
Q4FZC9,Syne3
E9Q7S0,Synj1
Q8C176,Taf2
Q9WVA4,Tagln2
Q9R1Q8,Tagln3
Q93092,Taldo1
A0A0R3P9C5,Tarm1
Q7M724,Tas2r106
Q7M715,Tas2r117
P48428,Tbca
O88968,Tcn2
C5NSA7,Tdo2
Q3UH45,Tecpr2
O08523,Tecta
A0A0A0MQB7,Tenm2
Q921I1,Tf
P27090,Tgfb2
P82198,Tgfbi
A0A0R4J097,Tgfbr3
P21981,Tgm2
Q62313,Tgoln1
P15306,Thbd
Q9Z1T2,Thbs4
Q91YX0,Themis2
P01831,Thy1
Q6ZPF3,Tiam2
A0A0U1RNX1,Ticrr
P25785,Timp2
P40142,Tkt
P26039,Tln1
D3Z4S6,Tmem132a
Q3U284,Tmem231
E9QPR6,Tmprss13
P20065,Tmsb4x
Q9EPU5,Tnfrsf21
A2ARN2,Tnk1
Q8BYI9,Tnr
O35452,Tnxb
P17751,Tpi1
D3Z6I8,Tpm3
D3Z2H9,Tpm3-rs7
O89023,Tpp1
Q7TQD2,Tppp
Q9CRB6,Tppp3
P63028,Tpt1
F7BAE9,Trf
Q8C0E3,Trim47
E9Q512,Trip11
Q9R244,Trpc2
Q61143,Trpc6
Q80YV3,Trrap
Q792Z1,Try10
Q9QUK9,Try5
P23591,Tsta3
Q3UVR3,Ttbk2
Q8BW49,Ttc12
Q99J38,Ttc30a1
G3UYY4,Ttc6
Q3UDE2,Ttll12
F8VQA1,Ttll3
E9Q8K5,Ttn
P07309,Ttr
P68373,Tuba1c
P05214,Tuba3a
P68368,Tuba4a
Q7TMM9,Tubb2a
Q9ERD7,Tubb3
Q9D6F9,Tubb4a
P68372,Tubb4b
P99024,Tubb5
E9Q6P4,Tubgcp6
Q8BFR5,Tufm
P10639,Txn
Q9CQM5,Txndc17
Q8CDN6,Txnl1
Q9JMH6,Txnrd1
Q3TW96,Uap1l1
Q02053,Uba1
P0CG49,Ubb
P61089,Ube2n
Q7TSS2,Ube2q1
Q9CZY3,Ube2v1
Q9D2M8,Ube2v2
Q99PL6,Ubxn6
Q9R0P9,Uchl1
Q91ZJ5,Ugp2
A0A0G2JFT6,Uox
Q9EPU0,Upf1
Q9DB77,Uqcrc2
E9PYI8,Usp14
B1AY13,Usp24
Q3TIX9,Usp39
Q3U4W8,Usp5
Q8C7V3,Utp15
Q9D479,Uvssa
Q9CZT5,Vasn
Q62465,Vat1
P29533,Vcam1
Q64727,Vcl
Q01853,Vcp
F2Z471,Vdac1
G3UX26,Vdac2
E9Q4N9,Vegfa
A1A535,Veph1
Q0VGU4,Vgf
A0A0A6YWC8,Vim
Q8VHI5,Vit
Q5SVD6,Vmn1r195
Q91W86,Vps11
Q8CI71,Vps50
Q3SYK4,Vrtn
A0A140LHB6,Vstm2a
A0A0U1RNU3,Vstm2b
P29788,Vtn
Q8R2Z5,Vwa1
Q8C8N3,Vwc2
E9QPU1,Vwf
Q6VNB8,Wdfy3
E9PV60,Wdfy4
O88342,Wdr1
Q8CFJ9,Wdr24
Q8K4P0,Wdr33
Q8CGF6,Wdr47
Q7TQN3,Wfikkn2
Q3UN10,Wfs1
O09053,Wrn
Q4U4S6,Xirp2
Q3U4G3,Xxylt1
Q04736,Yes1
Q3UDR8,Yipf3
Q9CQV8,Ywhab
P62259,Ywhae
P61982,Ywhag
P68510,Ywhah
P68254,Ywhaq
P63101,Ywhaz
D2EAC2,Zbed6
G3UY09,Zfp141
B1AQG7,Zfp207
Q6NZP4,Zfp943
Q8C0C0,Zhx2
Q80YP6,Zik1
B1AXS6,Zmym3
F6VYE2,Zmym4
A2A7U2,Zmym6
Q99PP2,Znf318
Q8BZ47,Znf609
B2KFW1,Zscan20
