accession,mouse_gene
E9PZI9,Cd200
Q61475,Cd55
P60766,Cdc42
A0A0R4IZW5,Cdh1
Q9WTR5,Cdh13
P33146,Cdh15
P15116,Cdh2
Q3V1P3,Cdh26
P55284,Cdh5
P61809,Cdk5r1
Q8K389,Cdk5rap2
A0A087WNP6,Cdv3
A0A0R4J0G1,Ceacam10
Q78Y72,Ceacam14
P28659,Celf1
O35161,Celsr1
Q9JKC6,Cend1
E9Q3P4,Cenpf
Q80U49,Cep170b
Q6IQY5,Cep70
D3Z5G7,Ces1b
P23953,Ces1c
Q8VCT4,Ces1d
Q3UY96,Cfap74
P03953,Cfd
P06909,Cfh
Q61406,Cfhr1
Q61129,Cfi
P18760,Cfl1
P45591,Cfl2
D3Z3H4,Cgnl1
A3KFM7,Chd6
F7AL76,Chd8
Q8BYH8,Chd9
P26339,Chga
P16014,Chgb
Q61362,Chi3l1
P70232,Chl1
Q9Z0E2,Chrd
E9QP01,Cic
Q04447,Ckb
P07310,Ckm
P30275,Ckmt1
Q6P8J7,Ckmt2
P43025,Clec3b
Q9Z1Q5,Clic1
Q9QYB1,Clic4
Q8BHB9,Clic6
Q9EPL2,Clstn1
D3Z601,Clstn3
Q68FD5,Cltc
Q06890,Clu
P21844,Cma1
Q8R1G2,Cmbl
Q9DBP5,Cmpk1
E9QLJ0,Cmya5
A0A0N4SVS6,Cnbp
Q9D1A2,Cndp2
P16330,Cnp
O88507,Cntfr
P12960,Cntn1
Q61330,Cntn2
F8WH58,Cntn4
E0CXE3,Cntn6
E9QNF7,Cntnap2
D3YWB9,Cntnap4
Q62507,Coch
A2AJY2,Col15a1
E9QPX1,Col18a1
P11087,Col1a1
Q01149,Col1a2
P28481,Col2a1
P08121,Col3a1
P08122,Col4a2
Q9EQG9,Col4a3bp
Q9QZR9,Col4a4
Q04857,Col6a1
A0A087WS16,Col6a3
Q9R0G6,Comp
E9Q3H6,Coq10a
A0A0R4J1X1,Coq8b
H3BLR7,Corin
A0A0U1RPY8,Coro1a
Q9CQI6,Cotl1
P19783,Cox4i1
Q9CPQ1,Cox6c
G3X9T8,Cp
Q9JHH6,Cpb2
O89001,Cpd
Q00493,Cpe
Q9JJN5,Cpn1
Q9DBB9,Cpn2
Q9WVJ3,Cpq
P22935,Crabp2
K4DI63,Creg1
P63254,Crip1
P14847,Crp
Q8R555,Crtac1
P02525,Cryba1
O54983,Crym
Q9CZU6,Cs
Q9DBE0,Csad
E9Q1T9,Cse1l
D3YTW1,Csf1
P09581,Csf1r
Q923L3,Csmd1
P02662,CSN1S1
P02663,CSN1S2
Q3TP31,Csn1s2b
P02666,CSN2
P02668,CSN3
Q8VHY0,Cspg4
Q71M36,Cspg5
P97315,Csrp1
P21460,Cst3
Q9D1B1,Cst6
Q62426,Cstb
A2AEK1,Cstf2
Q8R242,Ctbs
P12399,Ctla2a
P16675,Ctsa
P10605,Ctsb
D3Z220,Ctsc
F8WIR1,Ctsd
D3Z6T3,Ctse
P49935,Ctsh
P06797,Ctsl
Q8BM88,Ctso
O70370,Ctss
Q9WUU7,Ctsz
Q9JLB4,Cubn
H3BJL7,Cux1
O35188,Cx3cl1
I7HIQ2,Cxcl16
P62897,Cycs
B7ZWD6,Cym
Q3TG86,Cyp11b1
O54750,Cyp2j6
Q64459,Cyp3a11
Q9D172,D10Jhu81e
D3YZ21,D430041D05Rik
A2AUX5,Dab2ip
Q62165,Dag1
Q922B2,Dars
P31786,Dbi
P70211,Dcc
E9PVD3,Dchs1
P28654,Dcn
Q9CWS0,Ddah1
Q99LD8,Ddah2
Q3U1J4,Ddb1
Q03146,Ddr1
O35215,Ddt
A2RSQ0,Dennd5b
Q9D0A0,Det1
A3KGL3,Dhdds
Q99J87,Dhx58
D3Z074,Diaph1
A3KGG4,Disp2
Q9QUN9,Dkk3
O08749,Dld
Q09163,Dlk1
Q8BPN8,Dmxl2
F7ABZ6,Dnah10
E9Q7P0,Dnah17
E9Q3H7,Dnah6
Q91XQ0,Dnah8
A2AUE1,Dnajc5
Q8JZM4,Dner
D3Z2X2,Dnhd1
Q8BPW9,Dnpep
Q99KK7,Dpp3
Q9ET22,Dpp7
Q9QZZ6,Dpt
O08553,Dpysl2
Q3TT92,Dpysl3
Q61495,Dsg1a
Q91ZU6,Dst
Q9R0P5,Dstn
Q9DD18,Dtd1
Q9JHU4,Dync1h1
A2BFF8,Dync1i2
Q45VK7,Dync2h1
A1L341,Dyrk1a
Q499E4,Dzip1l
P42125,Eci1
F8WI14,Ecm1
Q99LS0,Ecrg4
E0CZ86,Edn3
P10126,Eef1a1
P62631,Eef1a2
A0A087WS46,Eef1b2
D3Z7N2,Eef1d
Q9D8N0,Eef1g
P58252,Eef2
A0A0N4SWD9,Eefsec
Q8BPB5,Efemp1
F6Z1C2,Efemp2
Q8C845,Efhd2
P52800,Efnb2
O35393,Efnb3
Q9WVF5,Egfr
Q9QXY6,Ehd3
Q8QZY1,Eif3l
A2A702,Eif3m
P60843,Eif4a1
P10630,Eif4a2
A0A0A0MQM0,Eif5a
P54320,Eln
Q9D2Y9,Elovl7
Q8K482,Emilin2
Q7TNG5,Eml2
A0A0U1RNN7,Emsy
P09066,En2
A0A0A6YXC8,Enah
P17182,Eno1
P17183,Eno2
P21550,Eno3
Q9R1E6,Enpp2
Q6DYE8,Enpp3
Q9EQG7,Enpp5
Q8CHI8,Ep400
Q9WV92,Epb41l3
Q8BGS1,Epb41l5
Q99M71,Epdr1
Q03137,Epha4
P34914,Ephx2
Q8VEH5,Epm2aip1
Q8R0W0,Eppk1
Q8CGC7,Eprs
H3BJP2,Esd
Q99LC5,Etfa
Q9DCW4,Etfb
D3Z4F9,Ets2
Q8K1G2,Evc2
Q6KAR6,Exoc3
P70428,Ext2
Q3TSR0,Extl2
O88947,F10
Q80YC5,F12
Q8BH61,F13a1
Q07968,F13b
H7BX99,F2
O88634,F2rl3
O88783,F5
P11404,Fabp3
P04117,Fabp4
P51880,Fabp7
P35505,Fah
Q6NSV7,Fam149b1
Q5MJS3,Fam20c
Q3UEN2,Fam35a
Q91VU0,Fam3c
Q921M7,Fam49b
A0A0U1RNJ1,Fasn
E9QK16,Fat3
Q2PZL6,Fat4
Q80WS3,Fbll1
Q08879,Fbln1
P37889,Fbln2
Q9WVH9,Fbln5
Q61554,Fbn1
P70695,Fbp2
A2AUF9,Fbxw2
P53798,Fdft1
Q9QXC1,Fetub
E9PV24,Fga
Q8K0E8,Fgb
E9Q864,Fgf9
P16092,Fgfr1
Q9CRA9,Fgfr1op2
Q8VCM7,Fgg
P12804,Fgl2
P97807,Fh
P97447,Fhl1
Q6P9Q4,Fhod1
P26883,Fkbp1a
P45878,Fkbp2
P30416,Fkbp4
Q8VHX6,Flnc
Q8VHG0,Fmo4
P50608,Fmod
A0A087WR50,Fn1
Q80T14,Fras1
A2AKB4,Frmpd1
Q61553,Fscn1
Q32M02,Fscn2
Q62356,Fstl1
Q8BFR2,Fstl5
P09528,Fth1
Q9CPX4,Ftl1
Q00612,G6pdx
P70699,Gaa
Q8CC47,Galns
O08912,Galnt1
Q8BHN3,Ganab
P16858,Gapdh
A0A0R4J0X7,Gapdhs
Q61592,Gas6
P21614,Gc
Q9R111,Gda
Q9WV56,Gdf2
P50396,Gdi1
Q61598,Gdi2
A2AFQ9,Gemin5
P47856,Gfpt1
O08842,Gfra2
Q9Z0L8,Ggh
Q9WTN0,Ggps1
Q9D0T7,Gkn3
Q9CPU0,Glo1
Q9QUH0,Glrx
P26443,Glud1
P15105,Glul
P01642,Gm10881
A0A1D5RLM8,Gm11639
B1ARV6,Gm13125
A2A9Q9,Gm14781
A0A140LIQ5,Gm15262
Q3UR78,Gm1673
Q8C6J8,Gm17324
B8JJN0,Gm20547
Q60648,Gm2a
A0A087WP63,Gm42715
E9PUM5,Gm4788
P01639,Gm5571
Q8CDK1,Gm5591
A0A1B0GRG8,Gm5678
D3YYI5,Gm7293
A0A0N4SVU1,Gm7298
A0A087WSA6,Gm7356
Q9D034,Gna13
P08752,Gnai2
Z4YKV1,Gnas
Q3V3I2,Gnat3
P29387,Gnb4
Q8BFR4,Gns
A0A0R4J1H6,Golga3
E9QAH1,Golgb1
P05201,Got1
P05202,Got2
Q9QZF2,Gpc1
E0CXN5,Gpd1
P06745,Gpi
O70362,Gpld1
Q3U6B2,Gpr183
Q9QY42,Gpr37
Q8VHN7,Gpr98
P11352,Gpx1
P46412,Gpx3
P21765,Gpx5
Q8CI52,Gramd1c
O89100,Grap2
D6REG4,Grhpr
F2Z488,Gria3
A2AIR5,Grin3a
Q99NB5,Gsdmc
Q3U3C9,Gse1
P13020,Gsn
P47791,Gsr
P30115,Gsta3
P24472,Gsta4
Q5RL51,Gstcd
P10649,Gstm1
P15626,Gstm2
E9PVM7,Gstm5
O09131,Gsto1
P19157,Gstp1
Q64471,Gstt1
Q9WVL0,Gstz1
Q99ME9,Gtpbp4
Q5SDA5,Gucy2f
P10922,H1f0
Q9QWV1,H2-Oa
P01898,H2-Q10
E0CZ27,H3f3a
Q61425,Hadh
Q91VB8,haemaglobin
E9PYA3,Hagh
P02088,Hbb-b1
P02089,Hbb-b2
A8DUK4,Hbbt1
A0A1B0GX25,Hdac6
F6RY11,Hdac7
D3YZI3,Hdhd2
E9Q7X6,Heg1
A2AS05,Helz2
Q4VAH7,Hepacam2
Q9Z0Z4,Heph
P20060,Hexb
Q9R098,Hgfac
Q99L13,Hibadh
Q61221,Hif1a
P70349,Hint1
Q61666,Hira
P15864,Hist1h1c
P43274,Hist1h1e
Q8CGP6,Hist1h2ah
P10853,Hist1h2bf
P62806,Hist1h4a
G3UVV4,Hk1
A2AJ76,Hmcn2
P63158,Hmgb1
P09602,Hmgn2
O88569,Hnrnpa2b1
Q8VDM6,Hnrnpul1
A0A0R4J108,Homez
Q61646,Hp
P00493,Hprt1
E9PZY1,Hps3
Q91X72,Hpx
Q9ESB3,Hrg
P52760,Hrsp12
Q9QYK4,Hs6st3
P51660,Hsd17b4
P07901,Hsp90aa1
P11499,Hsp90ab1
P08113,Hsp90b1
Q61696,Hspa1a
P17156,Hspa2
Q61316,Hspa4
P20029,Hspa5
P63017,Hspa8
P38647,Hspa9
P14602,Hspb1
P63038,Hspd1
Q64433,Hspe1
B1B0C7,Hspg2
E9Q0U7,Hsph1
Q9R118,Htra1
D3YXU8,Hyal1
O88844,Idh1
P54071,Idh2
Q9D6R2,Idh3a
Q08890,Ids
B1AZL1,Iffo2
Q9ESY9,Ifi30
Q6GTM0,Ifit2
P07351,Ifna4
O35664,Ifnar2
D3Z7M4,Igf1
E9QNX9,Igf1r
P09535,Igf2
A0A0R4J0S2,Igfals
P47877,Igfbp2
P47878,Igfbp3
P47879,Igfbp4
Q07079,Igfbp5
P47880,Igfbp6
Q61581,Igfbp7
A0A075B6A3,Igha
P01863,Ighg
A0A075B5P4,Ighg1
A0A075B5P3,Ighg2b
A0A0A6YY53,Ighg2c
A0A075B5P5,Ighg3
P01872,Ighm
A0A0A6YWI9,Ighv1-11
A0A0A6YXA5,Ighv1-15
A0A075B5V0,Ighv1-26
A0A075B5V3,Ighv1-36
A0A075B5V4,Ighv1-37
A0A075B5V5,Ighv1-39
A0A075B5V6,Ighv1-42
A0A075B5V8,Ighv1-47
A0A075B5W3,Ighv1-53
A0A075B5W9,Ighv1-58
A0A075B5X7,Ighv1-69
A0A075B5Y1,Ighv1-74
A0A0B4J1N0,Ighv1-76
A0A0B4J1M0,Ighv1-77
A0A075B5Y4,Ighv1-81
A0A0B4J1J7,Ighv1-82
A0A075B5Y6,Ighv1-85
A0A075B5T6,Ighv10-3
A0A075B5R4,Ighv14-1
A0A075B5R7,Ighv14-2
A0A075B5R9,Ighv14-3
P18531,Ighv3-6
A0A075B5R5,Ighv4-1
A0A075B5R0,Ighv5-16
A0A075B5R1,Ighv5-17
A0A075B5Q0,Ighv5-6
A0A075B5T3,Ighv6-6
A0A075B5R2,Ighv7-3
P01633,Igk-V19-17
A0A0B4J1I0,Igkv1-110
A0A140T8M0,Igkv1-117
A0A0B4J1H7,Igkv1-135
A0A075B5K8,Igkv1-99
A0A140T8M2,Igkv12-44
A0A140T8P6,Igkv12-46
A0A075B666,Igkv13-85
A0A0B4J1I1,Igkv16-104
A0A075B5K3,Igkv17-121
A0A075B5J9,Igkv17-127
A0A075B6D5,Igkv19-93
A0A075B5N9,Igkv3-7
A0A0B4J1J0,Igkv4-50
A0A075B677,Igkv4-53
A0A0B4J1I9,Igkv4-55
A0A0A6YYE7,Igkv4-57
A0A075B5M1,Igkv4-63
A0A0B4J1I7,Igkv4-68
A0A0B4J1I5,Igkv4-70
A0A075B5L7,Igkv4-80
A0A075B5L2,Igkv4-91
A0A075B5M7,Igkv5-39
A0A0B4J1J2,Igkv5-43
A0A075B5N7,Igkv6-13
A0A140T8M5,Igkv6-15
A0A140T8Q3,Igkv6-17
A0A140T8N5,Igkv6-23
A0A140T8N9,Igkv6-32
A0A140T8M4,Igkv8-19
A0A140T8P7,Igkv8-21
A0A140T8P5,Igkv8-24
A0A075B5N4,Igkv8-27
A0A075B5N3,Igkv8-28
A0A140T8M3,Igkv8-30
A0A075B5K2,Igkv9-124
P01844,Iglc2
Q8HW98,Iglon5
A0A075B664,Iglv2
Q7TQA1,Igsf1
P0C6B7,Igsf6
D3Z4Q8,Igsf8
G3UY13,Il1rap
O55023,Impa1
B1AT34,Ino80d
E9PXU1,Ints6l
S4R2B7,Invs
Q8BP00,Iqcb1
Q6GU68,Islr
Q9JHU9,Isyna1
A0A0B4J1F0,Itga11
Q792F9,Itga4
Q61702,Itih1
Q61703,Itih2
E9PVS1,Itih3
A0A0R4J1N1,Itih4
Q8BJD1,Itih5
Q9D892,Itpa
Q9JHI5,Ivd
Q6ZPI0,Jade1
P01592,Jchain
Q8BRB7,Kat6b
D3Z0U5,Katnal2
F6TUN6,Kcnh8
P97794,Kcnj8
E9Q945,Kctd18
Q5SZV5,Kiaa0319
A2AAE1,Kiaa1109
A2A7S8,Kiaa1522
E9Q4K7,Kif13b
F8VQE2,Kif21b
